trip_distance,demand_level,supply_level,traffic_density,is_peak_hour,is_raining,final_price
15.35,49.0,6,2.68,1,0,610.67
23.12,88.0,37,2.87,1,0,674.71
3.12,79.0,41,2.58,0,0,156.99
5.7,19.0,17,1.24,0,0,166.45
2.09,78.0,6,2.68,1,1,307.28
8.81,67.0,6,1.6,0,0,384.37
10.33,80.0,24,1.62,0,0,286.67
7.51,51.0,5,2.56,0,1,408.0
20.89,84.0,35,1.81,1,0,593.9
9.56,67.0,29,3.3,1,0,323.49
7.74,128.0,18,3.42,1,0,384.65
14.02,82.0,56,2.8,0,0,312.67
4.38,14.0,42,2.25,0,1,157.58
20.25,66.0,30,1.67,0,0,416.84
2.79,89.0,15,1.85,0,0,147.92
24.69,38.0,56,2.94,0,0,488.2
19.53,64.0,56,2.76,0,0,401.33
5.77,32.0,47,1.93,0,0,180.97
1.13,66.0,19,2.89,0,0,106.66
20.57,27.0,10,2.65,0,0,455.16
17.96,65.0,34,3.6,1,0,557.87
18.5,14.0,13,2.37,0,0,365.3
19.51,17.0,54,2.72,0,0,389.14
2.78,28.0,10,2.78,0,0,142.79
9.6,67.0,11,1.98,1,0,368.88
3.78,77.0,27,2.93,0,0,152.9
21.71,93.0,35,1.67,0,0,470.67
15.96,59.0,20,1.88,0,0,367.11
8.94,95.0,55,2.58,0,0,223.47
2.53,115.0,16,3.13,1,1,248.74
8.46,74.0,20,2.79,0,0,258.84
8.8,17.0,49,1.8,0,0,194.19
18.51,69.0,16,1.75,0,0,439.03
16.3,67.0,13,1.06,0,0,436.36
22.29,36.0,10,1.93,0,0,513.3
12.33,94.0,8,2.45,0,1,633.92
3.87,72.0,32,2.4,1,0,173.79
18.12,85.0,11,2.73,1,0,711.9
19.26,76.0,4,2.24,1,0,976.18
14.47,78.0,44,2.55,0,0,355.31
19.5,24.0,39,1.12,0,1,504.91
12.85,76.0,51,2.41,0,0,295.74
13.55,37.0,25,1.76,0,0,280.24
11.26,72.0,57,1.08,0,0,237.35
1.61,42.0,13,3.51,1,0,136.04
3.59,61.0,31,,0,0,121.32
1.75,83.0,5,3.0,1,0,260.91
16.27,69.0,10,2.46,0,0,527.69
8.54,67.0,45,,0,0,190.02
13.21,23.0,47,2.46,0,0,280.45
22.78,15.0,32,2.52,0,0,452.47
6.98,28.0,7,2.18,0,0,206.08
10.85,101.0,35,2.53,1,0,354.76
19.13,44.0,39,2.29,1,1,647.14
6.49,58.0,28,2.81,0,0,243.34
2.85,60.0,41,2.94,0,0,126.9
7.95,65.0,7,2.52,1,0,394.54
4.87,95.0,9,2.02,1,0,338.87
23.31,27.0,13,,0,0,469.22
20.39,84.0,33,3.14,1,0,618.66
16.2,91.0,39,1.35,0,0,368.05
21.92,18.0,49,2.56,0,1,590.24
20.29,99.0,22,2.85,0,0,552.44
5.48,11.0,47,2.93,0,0,168.56
22.42,51.0,57,1.02,0,0,363.88
13.94,79.0,7,2.92,0,0,547.54
20.38,93.0,32,2.48,0,1,661.05
22.51,111.0,10,1.97,1,0,920.78
8.63,107.0,36,2.63,1,0,312.14
3.64,98.0,45,2.4,0,0,143.83
6.47,40.0,51,2.91,0,0,164.3
11.25,28.0,47,1.33,0,0,262.42
20.63,80.0,27,1.26,0,0,476.74
21.66,56.0,36,,0,0,429.29
1.17,46.0,14,2.94,0,0,95.41
13.26,90.0,42,2.94,0,1,456.35
11.02,28.0,42,,0,0,214.22
6.33,98.0,17,1.64,0,0,259.81
3.88,64.0,9,3.62,1,0,263.48
9.1,62.0,32,2.47,0,0,233.57
23.63,84.0,17,2.94,0,0,654.52
8.76,13.0,39,2.79,0,0,209.01
13.45,55.0,6,1.43,0,0,469.8
17.87,40.0,5,2.52,0,0,517.21
9.73,75.0,35,1.9,1,0,323.81
24.32,13.0,36,2.64,0,0,447.18
24.1,41.0,24,3.0,1,1,831.66
7.04,48.0,26,2.91,0,0,210.35
12.93,53.0,8,2.92,0,0,432.56
8.22,99.0,57,1.1,0,0,211.8
7.84,28.0,50,1.32,0,0,170.3
1.89,50.0,28,1.97,0,0,82.0
15.63,77.0,8,3.56,1,0,686.12
13.06,83.0,21,2.63,0,0,403.18
2.24,,18,2.93,0,0,111.1
7.69,74.0,34,3.04,1,1,334.26
22.8,20.0,43,1.51,0,0,387.89
6.75,68.0,45,1.05,0,0,155.7
4.48,87.0,56,1.45,0,0,165.45
12.75,79.0,31,2.35,0,0,324.59
24.66,,25,2.85,0,0,536.05
6.81,98.0,44,1.64,0,0,173.55
17.13,96.0,39,2.75,0,0,395.01
19.28,14.0,30,1.79,0,0,360.29
6.7,35.0,35,1.62,0,0,162.67
18.48,91.0,37,2.02,0,0,386.34
9.83,,53,1.88,0,0,225.61
16.18,86.0,5,3.63,1,1,989.3
16.2,65.0,20,1.94,0,1,484.49
13.86,124.0,1,2.35,1,0,852.33
3.17,99.0,38,2.69,0,1,202.12
21.05,59.0,45,3.0,0,0,452.34
8.7,,36,2.3,0,0,241.64
5.48,97.0,15,2.3,1,0,306.38
1.98,37.0,33,1.48,0,1,140.14
15.18,118.0,5,1.92,1,0,943.95
17.26,94.0,1,1.95,1,0,1023.56
1.4,67.0,31,2.83,0,1,158.56
13.29,49.0,32,1.19,0,1,390.02
6.44,67.0,35,1.97,0,0,186.8
16.48,81.0,54,2.4,0,0,365.26
5.18,55.0,15,2.7,0,0,183.32
17.58,113.0,7,2.14,1,0,913.18
10.28,54.0,47,1.88,0,0,205.75
23.48,19.0,10,1.5,0,0,460.12
4.3,91.0,31,1.51,0,0,173.82
9.19,87.0,24,2.41,1,0,345.64
3.72,71.0,57,2.17,0,1,167.77
23.19,67.0,42,1.83,1,0,592.88
22.06,59.0,13,2.62,1,0,710.28
7.19,97.0,18,1.37,0,0,257.44
16.84,79.0,13,2.93,0,0,533.75
20.61,50.0,59,2.17,0,0,391.77
14.32,15.0,49,2.74,0,0,282.41
13.71,50.0,22,2.19,1,1,522.03
6.8,39.0,32,2.62,0,0,189.92
3.23,12.0,50,1.83,0,0,117.4
22.53,81.0,29,1.36,0,0,489.03
22.61,42.0,30,2.52,0,0,464.32
16.19,63.0,8,2.52,0,0,531.62
9.14,56.0,7,2.99,0,1,445.08
9.38,122.0,28,3.36,1,0,399.75
18.42,19.0,25,1.29,0,0,336.27
22.53,28.0,21,1.65,0,1,575.61
22.29,48.0,32,2.7,1,1,774.67
19.72,46.0,28,2.05,1,0,530.2
16.41,70.0,48,2.58,0,0,376.16
3.02,23.0,16,2.05,0,0,127.22
4.88,11.0,29,2.89,0,0,129.85
22.57,31.0,25,2.18,0,0,449.42
15.55,99.0,12,2.85,1,0,660.49
1.22,54.0,40,1.14,0,0,104.3
3.44,59.0,1,2.1,1,0,380.83
16.92,35.0,24,2.7,0,0,364.93
1.12,68.0,57,2.98,0,0,98.48
4.86,77.0,24,1.83,0,0,184.66
14.17,48.0,36,2.62,0,1,400.1
17.61,32.0,35,2.26,0,0,351.62
16.65,89.0,24,2.92,0,0,460.05
6.38,34.0,55,1.48,0,0,149.08
18.09,112.0,24,2.89,1,0,642.99
6.69,,7,1.82,0,1,374.49
8.81,50.0,14,2.88,1,0,339.75
18.92,34.0,12,1.54,0,0,399.73
16.59,70.0,15,2.8,1,0,571.76
21.38,85.0,42,3.05,1,0,615.69
16.78,36.0,27,1.16,0,0,343.03
14.64,102.0,48,3.29,1,0,461.3
3.25,56.0,5,2.41,0,0,221.37
9.83,53.0,1,3.56,1,0,682.3
7.36,32.0,14,1.85,0,0,223.38
6.86,25.0,41,1.12,0,0,148.11
24.35,29.0,34,1.92,0,0,493.71
10.43,12.0,55,1.28,0,0,192.32
22.41,15.0,48,2.29,0,0,423.7
16.15,68.0,18,1.89,1,0,519.53
20.08,43.0,26,2.55,1,0,523.03
13.06,74.0,54,1.17,0,0,268.86
14.85,47.0,24,1.81,1,1,541.7
12.82,87.0,32,3.72,1,0,440.7
5.69,93.0,59,2.99,0,0,193.79
18.34,25.0,18,2.11,0,0,344.38
7.74,56.0,59,1.48,0,1,225.24
1.58,70.0,1,3.62,1,0,277.78
16.49,68.0,19,3.65,1,0,553.28
5.25,85.0,49,2.71,0,0,165.63
23.57,77.0,11,2.09,0,1,882.04
23.89,82.0,11,1.95,1,0,850.45
22.96,73.0,35,1.98,1,1,772.95
9.88,45.0,21,3.59,1,0,379.37
1.37,58.0,42,2.75,0,0,77.19
23.28,69.0,42,1.87,0,0,472.34
11.28,60.0,27,1.66,0,1,375.84
24.2,18.0,36,2.29,0,0,441.24
24.13,44.0,1,3.41,1,0,1344.32
21.47,73.0,15,2.46,0,0,570.76
8.07,55.0,28,3.03,1,0,280.25
10.24,68.0,56,1.46,0,0,217.34
21.43,95.0,41,2.33,1,0,589.48
8.61,74.0,38,2.45,0,1,315.11
5.07,93.0,11,2.61,0,0,235.5
14.36,44.0,14,1.23,0,0,319.83
23.47,19.0,29,1.37,0,0,378.79
17.7,128.0,1,3.16,1,0,1042.71
14.68,56.0,53,1.78,0,0,314.24
3.33,44.0,34,2.13,0,0,114.93
15.76,101.0,11,3.03,1,0,689.31
24.76,72.0,23,3.35,1,0,750.19
4.36,24.0,22,2.61,0,0,172.89
13.44,124.0,40,2.36,1,0,431.54
22.06,44.0,39,2.08,0,0,452.87
18.78,19.0,21,1.25,0,1,486.27
17.73,89.0,51,2.68,0,0,404.41
17.86,29.0,26,2.69,0,0,379.98
9.63,,55,1.6,0,0,228.81
8.05,17.0,29,1.32,0,1,278.77
20.42,22.0,24,1.14,0,0,367.18
20.44,127.0,10,2.95,1,0,967.8
21.81,85.0,29,1.18,0,0,454.84
22.92,98.0,9,3.16,1,1,1153.14
13.27,120.0,31,3.16,1,0,501.53
13.04,56.0,19,2.23,0,0,353.34
20.16,69.0,19,2.75,0,1,666.67
16.6,50.0,22,1.76,0,0,347.3
17.85,91.0,31,3.6,1,0,570.18
20.1,85.0,5,1.07,0,0,835.44
22.36,63.0,37,1.23,0,0,424.44
9.11,75.0,1,2.62,1,0,629.74
10.01,86.0,53,2.19,0,0,256.15
3.26,78.0,26,1.06,0,1,196.67
14.88,22.0,58,2.13,0,0,297.17
1.86,111.0,15,2.41,1,1,232.28
12.17,50.0,40,3.57,1,0,400.69
14.02,17.0,45,2.07,0,0,266.17
7.88,40.0,31,2.18,0,0,188.81
15.18,101.0,1,3.69,1,0,941.05
1.73,51.0,45,3.33,1,1,176.62
1.9,50.0,29,2.68,1,0,142.05
20.74,26.0,5,1.95,0,0,507.02
9.64,66.0,1,3.1,1,1,681.04
4.05,86.0,59,1.4,0,0,143.46
13.53,22.0,28,1.18,0,0,286.16
19.48,125.0,40,2.42,1,0,583.35
6.18,53.0,33,2.56,0,0,196.6
15.95,97.0,16,2.31,1,0,585.36
3.05,97.0,27,1.26,0,1,166.27
2.24,69.0,15,2.24,1,0,159.91
13.75,22.0,18,2.36,0,0,304.89
13.98,17.0,12,2.23,0,0,294.87
16.3,78.0,20,2.38,0,0,426.74
18.43,73.0,39,1.64,0,0,399.38
24.42,91.0,18,3.6,1,0,852.87
13.39,15.0,30,1.9,0,1,361.15
8.75,80.0,11,2.03,0,0,362.86
20.08,63.0,29,2.9,0,0,478.04
7.5,61.0,32,3.76,1,0,244.04
11.54,72.0,49,2.32,0,0,277.63
2.88,88.0,30,2.89,0,0,162.26
1.61,46.0,30,2.08,0,0,85.87
24.1,95.0,24,2.41,1,0,756.0
21.06,50.0,6,1.63,0,0,670.06
17.7,69.0,47,2.12,0,0,367.64
10.81,59.0,47,3.01,1,1,431.29
5.16,78.0,13,1.88,0,0,190.55
4.75,54.0,43,2.77,0,0,162.17
7.01,97.0,38,2.65,1,0,290.67
14.18,85.0,15,1.55,0,0,440.48
18.15,46.0,19,1.02,0,0,352.42
16.84,48.0,16,2.94,0,0,447.21
7.72,42.0,29,3.45,1,0,285.41
23.92,86.0,54,2.23,0,0,499.32
18.71,84.0,44,2.66,0,0,434.72
14.3,83.0,51,2.62,0,0,332.4
15.68,112.0,10,3.66,1,1,868.27
11.07,47.0,53,1.77,0,0,266.76
6.95,55.0,36,2.11,0,1,231.86
9.54,58.0,22,1.2,0,0,267.77
19.19,43.0,57,2.93,0,0,414.75
1.35,65.0,39,3.77,1,0,122.57
3.79,11.0,25,2.58,0,0,95.6
2.1,95.0,10,2.71,1,0,214.7
1.98,16.0,11,1.99,0,0,103.93
21.53,75.0,1,2.67,1,0,1215.82
17.89,49.0,48,1.59,0,0,310.46
12.38,87.0,45,2.06,0,0,286.33
3.35,65.0,27,1.91,1,1,192.64
12.8,123.0,25,3.78,1,0,495.83
12.36,84.0,25,1.85,0,1,423.28
5.16,99.0,7,2.85,0,0,333.98
11.41,,14,2.45,0,0,367.06
10.56,55.0,5,2.38,1,0,513.95
15.78,84.0,26,1.44,0,0,361.99
16.24,18.0,21,2.99,0,0,352.71
2.09,31.0,54,2.54,0,1,135.52
9.99,44.0,19,2.3,1,0,348.58
16.02,93.0,45,1.13,0,1,457.87
13.08,52.0,32,2.39,0,0,317.72
21.56,39.0,54,1.61,0,0,393.04
16.81,83.0,24,1.44,0,1,529.74
4.91,41.0,34,2.47,0,0,135.43
2.69,127.0,25,3.16,1,0,184.19
16.42,56.0,7,2.76,1,0,641.7
1.64,76.0,14,2.89,0,0,136.99
15.06,65.0,45,3.16,1,0,451.36
23.57,21.0,37,2.79,0,0,470.87
14.81,46.0,45,1.38,0,1,431.18
10.32,81.0,14,2.39,1,1,509.96
16.44,66.0,52,1.21,0,0,299.98
12.0,21.0,18,1.61,0,1,339.7
14.09,85.0,2,3.74,1,1,861.73
23.6,36.0,12,2.93,0,1,697.98
10.27,117.0,32,3.32,1,0,421.79
24.07,46.0,22,2.84,1,1,809.32
22.73,47.0,14,2.56,0,0,527.37
5.7,57.0,44,2.11,0,0,153.0
2.66,51.0,18,1.01,0,0,135.93
3.42,36.0,55,2.0,0,0,128.97
1.44,19.0,18,2.2,0,0,65.41
3.27,81.0,1,2.33,1,0,341.54
17.39,67.0,38,1.41,0,0,356.65
2.71,50.0,21,1.55,0,0,102.65
8.66,18.0,25,2.25,0,0,214.88
21.28,55.0,43,1.29,0,0,362.66
1.56,121.0,22,3.24,1,0,182.8
20.55,63.0,42,1.85,0,1,572.08
7.76,98.0,9,2.51,1,0,434.96
3.84,22.0,40,2.61,0,0,123.46
17.72,95.0,40,2.01,0,0,429.6
16.09,25.0,13,1.76,0,0,321.07
22.06,54.0,48,2.76,0,0,427.64
18.64,41.0,39,1.74,0,0,398.23
20.28,49.0,49,2.72,0,0,415.93
7.77,129.0,12,,1,0,456.28
5.26,53.0,58,1.42,0,0,130.78
19.01,122.0,11,3.03,1,0,856.21
20.36,56.0,22,1.57,0,0,475.14
24.77,79.0,8,1.29,0,0,811.7
10.9,69.0,52,1.17,0,0,247.2
9.93,44.0,24,1.48,0,0,234.81
19.63,114.0,7,3.27,1,0,1024.25
9.18,69.0,15,2.68,0,1,396.09
23.34,46.0,55,2.72,0,1,618.29
21.6,31.0,47,1.54,0,0,380.15
11.3,22.0,37,2.32,0,0,240.23
19.02,55.0,22,2.26,1,0,549.84
19.11,99.0,12,2.25,0,0,626.46
3.47,125.0,37,3.57,1,0,191.05
22.66,69.0,24,1.08,0,0,476.05
13.13,81.0,12,3.77,1,1,642.23
20.83,52.0,1,3.45,1,0,1157.74
8.68,96.0,48,2.52,0,0,261.21
22.49,72.0,37,2.38,0,0,488.28
10.34,71.0,45,3.34,1,0,331.53
1.26,32.0,15,2.99,0,1,152.69
22.73,82.0,47,,1,1,777.12
3.19,41.0,59,1.7,0,0,120.92
8.66,37.0,34,2.23,0,1,286.24
23.8,72.0,29,2.47,1,0,665.23
23.81,35.0,49,2.94,0,0,461.52
14.76,90.0,24,2.8,0,0,424.04
16.16,51.0,41,,0,0,335.09
11.76,38.0,14,2.56,0,0,308.67
8.04,41.0,24,3.62,1,0,319.3
8.89,73.0,12,2.29,1,0,380.29
17.14,77.0,19,2.96,1,1,696.8
19.06,21.0,36,1.96,0,0,357.41
20.0,61.0,43,2.54,0,0,432.77
19.95,60.0,28,2.56,1,0,550.29
3.19,49.0,48,2.42,0,0,135.74
12.87,76.0,58,1.81,0,1,375.8
2.38,88.0,33,2.02,1,0,162.67
14.19,35.0,35,1.21,0,0,284.81
11.6,,32,1.24,0,1,355.66
22.3,71.0,30,1.07,0,0,465.54
9.42,78.0,48,2.07,0,0,245.57
3.81,70.0,8,2.34,0,0,205.96
4.43,123.0,37,2.05,1,0,201.52
19.28,55.0,24,2.22,0,0,447.89
15.84,81.0,12,2.2,0,0,507.57
3.43,68.0,1,2.09,1,0,350.43
3.02,59.0,54,1.81,0,0,118.63
17.82,11.0,54,2.51,0,1,453.18
2.75,73.0,31,1.03,0,1,161.19
20.72,105.0,28,2.09,1,0,617.34
17.95,52.0,59,2.99,0,0,350.13
2.95,96.0,40,2.47,0,0,135.6
3.04,19.0,25,,0,0,142.22
24.68,62.0,12,2.26,0,0,650.17
9.98,92.0,27,2.69,0,0,290.75
9.9,37.0,47,2.68,0,0,241.63
20.51,11.0,12,1.65,0,0,398.65
23.73,38.0,9,1.98,0,0,579.31
24.66,61.0,44,2.28,0,0,506.72
19.08,23.0,5,1.14,0,0,453.28
10.03,37.0,25,2.89,0,0,268.71
3.0,40.0,38,2.67,1,0,153.81
19.65,98.0,37,2.54,1,1,741.18
14.4,83.0,4,3.61,1,0,862.97
11.18,89.0,6,1.24,0,0,488.65
22.75,94.0,25,1.08,0,0,536.5
3.67,87.0,17,2.37,0,0,205.89
12.82,52.0,48,1.77,0,0,278.93
1.27,26.0,54,2.53,0,1,112.79
12.25,63.0,58,1.14,0,1,379.27
2.35,24.0,32,1.77,0,0,101.17
3.85,57.0,34,1.47,0,0,128.1
3.82,55.0,22,2.48,0,0,157.5
16.58,58.0,46,1.45,0,0,345.25
18.91,45.0,6,1.92,0,0,557.01
15.0,23.0,23,2.64,0,0,322.55
24.09,42.0,15,3.63,1,0,737.73
10.0,15.0,30,2.45,0,0,217.47
7.86,31.0,50,1.86,0,0,189.85
21.85,61.0,19,2.94,1,0,658.43
6.37,45.0,23,2.38,0,0,195.89
24.12,80.0,29,2.75,0,0,538.49
1.29,59.0,45,2.78,0,0,80.6
24.28,85.0,24,2.86,0,0,592.23
2.04,89.0,10,2.62,0,0,182.52
22.39,78.0,22,1.29,0,0,526.46
13.66,44.0,53,2.5,0,0,291.3
24.83,48.0,12,3.43,1,0,763.06
2.77,38.0,24,2.76,0,0,150.85
14.29,36.0,43,2.85,0,0,312.66
24.26,66.0,38,2.02,0,0,511.78
13.55,83.0,14,2.31,0,0,445.21
16.11,128.0,27,1.82,1,0,525.91
17.7,68.0,55,2.15,0,0,356.75
11.91,81.0,49,2.75,1,0,393.62
16.06,62.0,23,2.92,0,0,404.28
15.02,77.0,1,3.6,1,0,925.43
22.63,98.0,51,2.6,0,0,501.49
2.09,13.0,53,1.11,0,1,131.05
7.74,91.0,1,2.6,1,0,569.98
23.81,83.0,24,3.19,1,0,726.75
22.37,32.0,43,1.06,0,0,378.44
11.94,113.0,13,2.27,1,1,638.46
15.88,79.0,25,2.78,0,0,395.43
7.66,86.0,58,1.26,0,0,173.32
5.51,78.0,48,1.1,0,0,151.22
12.13,,8,2.96,1,0,612.99
9.48,43.0,25,3.69,1,0,335.1
15.01,12.0,25,2.67,0,1,453.92
2.87,32.0,21,2.95,0,1,178.77
24.39,46.0,57,2.51,0,0,465.54
24.67,27.0,55,1.87,0,0,395.69
17.76,14.0,28,2.89,0,0,357.32
13.87,50.0,41,1.85,0,0,283.55
8.43,47.0,44,,0,0,214.27
20.53,56.0,45,1.9,0,0,393.35
17.43,91.0,38,2.63,0,0,401.96
4.9,111.0,41,3.64,1,0,243.98
22.86,21.0,24,1.72,0,0,413.69
20.74,39.0,20,1.92,0,0,432.91
23.8,95.0,53,2.8,0,0,505.66
18.42,15.0,46,1.09,0,0,325.08
15.72,70.0,16,2.57,0,0,426.39
11.04,81.0,45,1.91,0,0,269.31
23.39,103.0,18,2.55,1,0,776.53
21.79,78.0,17,1.89,0,0,551.44
2.09,20.0,38,1.84,0,0,104.35
1.63,71.0,31,2.51,0,0,119.03
10.04,26.0,42,2.86,0,0,227.53
20.45,116.0,15,2.78,1,0,807.25
24.69,59.0,47,3.47,1,1,845.45
4.61,35.0,7,2.46,0,0,197.52
15.26,68.0,53,1.66,0,0,304.23
10.14,64.0,8,2.97,1,0,444.46
24.28,27.0,47,2.33,0,0,443.75
21.21,68.0,32,1.85,1,1,720.47
21.12,106.0,48,2.59,1,0,598.1
12.25,44.0,41,2.99,0,0,293.35
10.96,54.0,35,3.07,1,0,348.15
7.56,90.0,36,2.47,1,0,277.95
2.35,,38,2.3,1,0,142.2
21.75,30.0,34,1.42,0,0,425.51
20.51,70.0,49,1.8,0,0,405.58
24.99,12.0,14,1.39,0,1,604.64
24.92,62.0,5,1.27,0,0,861.48
14.33,44.0,43,1.73,0,0,295.84
19.46,59.0,32,2.21,0,0,427.95
23.67,17.0,58,1.29,0,0,406.56
21.39,57.0,49,1.09,0,0,363.19
6.94,12.0,23,1.07,0,1,258.0
11.81,,34,1.53,0,0,279.97
4.1,114.0,14,2.18,1,0,275.5
23.9,11.0,56,2.08,0,0,416.58
15.55,42.0,24,1.91,0,0,333.48
6.49,111.0,17,2.45,1,0,328.93
17.12,21.0,35,2.67,0,0,336.73
15.84,28.0,36,2.01,0,0,315.6
9.6,57.0,41,1.98,1,0,276.54
3.73,89.0,46,2.39,1,1,213.78
17.12,94.0,30,2.95,0,1,594.87
13.49,61.0,8,3.75,1,0,579.13
19.54,69.0,1,2.31,1,0,1141.51
13.48,91.0,37,1.33,0,0,299.97
21.45,15.0,12,1.99,0,0,435.71
14.25,10.0,8,,0,0,277.3
14.46,18.0,17,1.82,0,0,277.99
22.04,61.0,39,2.06,0,0,436.07
10.68,119.0,23,2.26,1,0,416.43
4.22,38.0,29,1.23,0,0,135.27
1.69,71.0,38,2.14,0,0,107.33
19.12,38.0,15,2.87,0,0,442.21
15.89,14.0,42,1.28,0,1,411.84
17.9,92.0,33,2.41,0,0,478.66
6.11,31.0,49,1.88,0,0,119.6
4.27,58.0,26,1.59,0,0,141.31
1.35,47.0,48,3.51,1,0,107.84
9.41,91.0,38,1.91,0,0,234.43
15.16,87.0,50,2.17,0,0,327.57
10.41,77.0,15,1.89,0,0,301.64
11.5,49.0,32,1.16,0,0,237.49
22.7,33.0,59,2.19,0,0,422.05
9.36,85.0,12,1.84,0,0,349.47
13.34,52.0,18,1.97,1,0,391.55
19.81,59.0,14,2.19,0,0,535.39
10.52,54.0,19,1.02,0,0,230.77
15.93,,49,1.42,0,1,376.4
21.7,129.0,33,3.36,1,0,716.23
23.79,72.0,43,1.08,0,0,478.53
4.53,104.0,15,3.09,1,0,287.73
23.24,36.0,40,2.9,0,0,455.82
12.81,96.0,40,1.34,0,1,420.07
7.2,102.0,44,2.63,1,0,268.81
12.02,50.0,42,2.95,1,0,340.28
24.52,51.0,24,1.9,0,1,653.94
12.82,94.0,59,2.24,0,0,319.92
8.89,95.0,17,1.81,0,0,283.69
16.2,47.0,6,1.3,0,0,474.76
6.76,109.0,41,1.98,1,0,256.42
2.82,98.0,31,2.49,0,0,120.82
4.09,71.0,11,1.48,0,1,263.67
4.07,43.0,35,3.49,1,0,183.35
4.65,43.0,30,2.49,0,0,155.34
4.33,35.0,34,1.1,0,1,174.33
16.38,93.0,13,2.2,1,1,767.33
5.37,36.0,44,1.58,0,0,131.98
9.3,48.0,25,2.19,0,0,248.88
22.52,94.0,30,2.62,0,0,559.01
12.38,30.0,14,1.12,0,1,373.09
17.02,63.0,40,1.5,0,1,488.07
5.14,65.0,48,1.75,0,0,151.84
5.61,102.0,21,2.17,1,0,285.01
1.98,81.0,2,2.89,1,0,269.23
5.05,65.0,20,2.76,1,0,218.56
7.69,78.0,5,1.63,0,0,400.7
5.25,59.0,17,2.83,1,0,209.46
3.13,81.0,13,1.71,0,0,168.54
3.9,91.0,35,1.69,0,0,143.74
12.06,92.0,1,2.33,1,0,758.9
5.95,78.0,13,2.08,0,0,226.73
9.74,77.0,11,1.89,0,0,333.61
13.08,44.0,22,2.19,1,0,398.06
17.57,25.0,38,1.03,0,0,320.09
1.94,18.0,57,1.3,0,0,69.83
20.19,34.0,56,1.09,0,0,371.08
16.07,96.0,10,2.66,1,0,705.48
2.96,47.0,14,1.45,0,0,116.33
21.97,17.0,28,1.84,0,0,412.26
23.1,74.0,14,1.66,0,0,595.85
2.47,40.0,50,2.08,0,1,158.38
7.65,72.0,23,3.25,1,0,305.12
20.35,64.0,29,1.96,0,0,440.92
18.96,78.0,45,1.12,0,0,391.7
5.43,91.0,34,1.04,0,0,172.64
6.02,75.0,45,2.23,1,1,294.3
9.89,93.0,23,1.85,0,0,281.91
12.63,33.0,57,1.09,0,0,243.55
15.84,70.0,35,1.66,0,1,456.49
9.85,92.0,34,2.77,0,0,271.4
12.1,67.0,28,1.98,1,0,373.12
18.94,99.0,22,3.7,1,0,660.57
1.88,118.0,46,3.51,1,0,148.76
7.06,112.0,13,3.46,1,0,378.87
18.12,78.0,5,3.53,1,0,921.95
22.48,40.0,32,1.16,0,0,412.65
13.28,40.0,1,2.1,1,0,762.06
13.77,22.0,21,1.27,0,0,303.07
3.57,75.0,41,1.22,0,0,146.81
