demand,supply,base_price,is_peak_hour,is_raining,final_price
75,40,56.97,1,0,84.48
88,13,97.32,0,1,197.42
35,33,192.64,1,1,347.32
87,13,135.61,0,1,274.13
35,46,50.63,0,1,74.65
48,47,83.78,1,0,117.29
39,17,109.01,1,1,208.94
52,46,148.04,0,1,223.63
83,46,126.7,0,0,149.07
48,33,69.45,0,1,107.03
87,15,99.26,0,0,153.23
34,42,150.16,0,1,222.1
56,39,99.92,1,1,183.85
63,49,53.06,0,0,59.75
43,27,91.64,0,0,105.71
53,38,59.22,1,1,108.72
41,27,102.5,1,0,148.26
22,45,95.62,0,1,138.44
54,25,197.86,1,0,298.31
46,10,76.34,1,0,131.17
84,29,180.26,1,0,284.81
87,19,122.11,1,1,260.7
44,16,57.02,0,1,94.59
94,15,183.39,0,0,291.13
87,30,176.38,0,0,225.88
46,19,160.74,0,0,197.71
10,32,176.78,1,0,235.17
26,40,58.19,0,1,85.16
62,11,196.26,1,0,356.54
28,50,107.93,0,0,113.86
79,10,144.07,0,1,305.17
25,37,117.53,0,1,172.27
37,13,189.42,1,0,296.31
90,49,97.76,1,0,144.68
63,40,53.53,0,0,61.76
15,43,89.21,0,0,92.25
96,48,197.22,1,0,295.03
66,39,146.82,1,0,215.09
67,27,90.36,0,0,111.98
87,17,150.5,1,1,328.59
64,33,124.53,0,1,197.78
30,36,160.05,1,0,221.04
38,6,189.29,0,0,292.05
82,15,103.42,0,1,197.79
61,14,183.87,0,1,332.19
29,12,176.27,1,0,268.47
79,42,105.1,0,0,124.41
32,24,90.71,0,1,138.6
36,24,134.68,0,1,207.95
98,15,195.58,1,0,374.05
97,37,113.7,0,1,188.2
77,28,155.48,0,0,196.76
74,10,72.33,0,0,120.99
36,9,72.25,0,1,127.16
73,48,63.11,0,0,72.51
74,43,156.19,0,1,244.93
35,5,108.13,1,1,246.9
46,28,107.96,1,0,157.47
77,19,83.52,1,1,174.14
39,30,186.91,0,1,285.19
84,8,119.61,0,1,279.09
83,50,146.34,1,0,214.06
91,6,164.7,0,1,444.69
63,44,120.01,1,0,172.81
51,20,71.04,1,0,109.6
44,37,88.58,0,0,98.84
62,31,181.67,1,0,271.37
70,7,73.44,0,1,167.08
62,8,87.72,1,1,209.55
85,17,101.08,1,1,219.57
64,12,176.95,0,1,334.84
57,49,117.66,1,0,166.37
80,15,80.15,0,0,120.23
61,45,68.33,1,0,97.89
28,45,148.8,0,1,217.38
17,12,185.05,1,0,264.76
100,49,199.63,0,0,239.56
14,28,195.84,0,1,283.63
23,39,139.12,1,1,244.5
80,8,123.82,1,1,320.56
68,22,143.18,1,0,228.47
81,26,192.05,0,0,249.67
81,45,97.7,0,0,114.9
98,12,132.4,0,0,232.21
19,22,56.19,0,1,83.31
97,46,97.06,1,1,185.03
28,15,188.65,1,0,278.26
49,46,105.12,1,0,147.62
42,17,177.61,1,0,272.34
77,8,72.68,1,1,185.74
34,8,169.43,1,0,284.27
53,12,98.37,1,0,167.99
10,24,116.98,0,1,168.45
60,9,196.97,0,0,315.15
83,19,142.05,1,0,243.62
19,48,91.17,0,0,94.71
75,50,53.29,1,1,98.43
46,30,59.29,1,0,85.87
35,35,144.77,1,0,202.28
18,24,90.29,0,1,132.91
63,5,108.63,1,0,255.28
80,27,107.35,0,1,180.96
26,34,121.44,1,1,215.47
25,25,182.38,1,1,327.58
59,38,152.7,0,0,175.8
72,28,141.38,0,1,233.03
66,6,93.83,1,0,210.45
37,8,143.51,0,0,202.51
17,50,121.65,0,0,125.71
10,5,100.6,1,0,147.55
54,14,124.6,0,0,169.46
36,23,165.1,1,1,305.44
89,37,70.78,0,0,87.36
70,47,114.07,0,0,130.71
22,50,199.41,1,1,347.6
52,41,96.7,1,1,176.36
40,10,198.72,0,1,350.47
60,21,67.39,0,0,85.77
17,49,101.87,1,0,135.89
46,39,145.77,0,0,162.53
20,22,122.72,0,0,133.39
13,8,198.97,0,1,307.3
87,6,109.14,0,0,244.79
13,26,196.67,1,1,343.81
14,26,175.77,1,1,307.92
96,10,170.89,0,1,388.39
35,39,92.94,0,1,138.25
25,13,180.82,1,0,267.36
78,31,155.62,0,1,255.8
67,15,137.98,1,1,292.35
70,42,198.61,1,0,290.52
46,13,151.28,0,1,261.5
18,5,98.7,0,0,128.31
32,34,82.64,0,0,90.2
46,6,61.99,0,0,102.73
20,47,60.34,1,1,105.09
75,29,97.08,1,0,150.47
44,14,125.37,0,0,162.15
83,43,140.02,1,0,208.44
96,31,195.49,1,0,312.78
73,16,54.0,0,0,77.19
81,45,151.05,1,1,283.38
71,50,73.22,1,1,134.67
58,6,81.99,0,0,149.92
88,13,55.83,0,0,90.92
65,38,197.31,0,1,309.12
29,42,89.9,1,1,158.89
52,44,53.91,1,0,76.31
38,43,167.54,0,0,182.01
48,38,91.77,0,0,103.06
67,38,179.53,1,1,336.04
30,45,178.62,0,1,261.72
71,24,91.96,1,1,182.45
64,43,67.01,0,1,103.56
34,10,100.95,0,1,172.53
28,37,165.68,1,1,293.86
41,40,179.69,1,0,251.57
89,31,150.91,1,1,298.52
28,30,114.73,0,0,125.09
86,32,182.19,0,0,229.67
67,21,142.54,0,0,185.95
63,33,187.79,0,0,222.59
80,18,90.33,1,0,155.46
15,39,198.71,0,0,206.16
21,30,123.09,0,1,180.66
25,29,73.65,1,1,131.34
93,32,123.44,1,0,195.26
74,17,115.66,1,0,197.91
100,41,191.41,0,0,236.98
97,20,129.43,1,0,228.04
31,35,191.75,1,0,265.79
34,12,137.78,0,0,173.81
21,17,146.77,1,1,266.63
64,11,94.7,1,0,173.62
68,47,153.44,0,1,236.55
12,46,196.25,1,0,260.14
61,41,54.63,0,0,62.56
83,14,173.81,1,0,322.13
49,44,99.83,1,1,180.58
95,34,89.4,1,0,140.49
13,21,134.3,1,1,236.25
42,6,54.46,1,0,103.47
63,23,59.06,0,0,74.56
41,41,173.56,1,1,311.99
61,24,54.61,1,0,84.32
24,22,183.02,0,0,202.12
74,21,115.27,1,0,188.62
72,32,193.89,0,0,236.19
67,32,90.9,1,1,172.99
25,9,78.31,1,0,121.38
38,14,100.07,1,0,155.44
26,12,181.39,1,0,272.08
13,24,181.68,0,1,263.8
83,29,126.56,0,1,212.2
18,18,109.41,0,1,163.54
17,14,160.31,0,0,178.48
25,46,190.8,0,0,200.95
38,38,52.0,0,0,57.07
33,20,76.47,0,0,88.49
86,28,67.7,1,1,135.17
88,47,128.94,0,0,152.58
48,40,53.51,0,1,81.18
55,32,189.34,1,0,277.7
74,15,130.56,1,1,282.34
14,36,109.26,1,1,189.88
77,29,61.02,1,0,94.99
49,10,166.16,1,0,290.02
35,16,151.42,0,0,182.59
27,12,56.15,0,1,90.27
59,43,168.64,1,1,309.3
92,13,148.31,0,0,245.77
76,6,195.29,0,1,485.44
75,48,163.9,1,1,303.72
71,19,90.18,1,0,149.25
100,31,137.32,0,1,235.16
57,49,86.8,1,1,157.46
42,47,84.68,1,1,151.37
96,46,172.39,1,0,259.32
47,46,101.11,0,0,111.22
22,39,91.1,1,0,123.44
44,24,168.58,0,1,265.68
61,28,68.07,1,0,102.81
71,25,119.33,0,1,199.65
10,23,87.53,0,0,91.18
59,50,193.89,1,0,274.49
59,32,59.55,1,0,88.06
80,24,181.53,0,0,239.62
21,42,185.82,1,1,324.97
60,42,109.28,1,1,201.02
49,19,101.02,0,1,166.18
34,48,110.69,0,1,162.65
96,38,158.79,1,1,309.03
100,40,159.21,0,1,261.73
35,17,110.82,0,0,132.37
79,7,115.46,1,1,310.3
60,31,77.28,1,0,114.95
54,14,158.57,0,0,215.66
14,18,198.13,1,1,351.42
79,24,198.25,0,1,340.2
79,25,67.22,0,1,114.53
74,15,134.92,0,0,197.32
98,33,117.93,1,0,187.3
51,32,83.14,0,1,129.24
12,35,57.4,1,0,76.53
76,22,170.97,1,0,278.76
20,33,145.56,1,0,197.79
99,8,198.79,0,1,496.97
53,8,109.52,0,0,174.02
41,33,82.85,1,1,150.84
18,22,78.42,0,1,115.93
61,5,72.82,1,0,168.7
45,42,128.59,0,1,193.48
10,12,176.05,0,0,189.59
43,44,56.0,1,1,100.55
90,29,77.87,0,1,132.38
54,22,65.71,0,1,107.42
90,41,62.7,0,0,76.14
41,26,178.48,0,1,276.97
10,26,55.62,0,1,79.93
69,14,82.32,0,0,120.19
77,29,50.76,1,0,79.02
41,49,51.06,1,1,90.99
14,16,75.64,0,0,81.87
76,38,71.1,0,0,84.96
27,13,113.72,0,1,181.14
15,47,77.89,1,0,103.69
72,46,88.66,0,1,137.71
15,27,184.61,1,1,323.73
36,48,128.26,0,1,188.99
61,13,170.89,0,1,313.71
51,5,66.58,1,0,143.15
91,47,90.07,0,1,143.17
66,16,64.37,0,0,89.36
87,43,64.9,1,0,97.2
72,34,162.87,0,1,261.52
49,14,92.51,0,1,159.73
12,45,54.12,0,0,55.53
74,45,108.86,1,1,202.57
41,8,151.2,1,0,265.44
21,28,147.44,1,1,261.32
52,26,136.22,0,1,216.94
14,44,119.85,0,0,123.58
66,48,172.61,1,1,316.69
53,26,111.83,1,1,212.06
63,7,174.8,1,0,364.89
48,24,197.32,1,0,294.4
19,30,137.43,1,1,242.05
37,12,195.4,0,0,251.01
94,29,56.54,0,1,96.87
12,32,188.17,1,1,326.73
13,35,65.65,0,1,94.28
66,36,132.04,0,1,208.41
31,16,148.26,0,1,234.6
90,14,138.13,0,1,276.26
79,21,126.97,1,0,210.65
58,23,152.44,1,1,295.99
68,50,101.4,1,0,145.34
97,48,140.99,1,0,211.2
77,26,69.52,1,1,138.01
59,34,91.61,0,1,143.7
44,44,197.84,0,1,296.32
73,19,115.67,1,1,238.86
49,15,178.14,0,1,303.95
96,6,127.17,1,0,339.73
16,36,146.3,1,1,255.04
98,10,60.38,1,1,156.44
84,41,55.55,1,0,83.32
43,42,155.56,1,1,280.01
82,16,59.32,0,1,111.66
68,41,84.41,0,1,131.84
59,40,115.51,0,1,178.34
43,27,96.75,1,1,179.33
95,18,96.5,1,0,173.7
96,47,106.9,0,1,171.04
28,39,187.06,1,0,256.27
62,25,156.85,1,1,304.05
78,39,68.87,1,0,102.96
35,12,180.37,0,1,301.08
96,37,58.24,1,0,90.43
29,16,142.18,1,0,209.09
22,45,125.85,0,0,131.87
24,29,81.29,1,1,144.7
76,40,121.01,0,0,143.44
58,20,161.33,1,0,254.29
27,16,183.21,0,1,285.59
56,16,59.7,1,0,97.28
70,48,173.57,1,1,319.86
32,45,97.09,0,0,103.84
47,5,100.82,1,0,210.04
17,29,100.2,0,0,105.88
25,10,92.31,1,0,140.98
19,38,84.65,0,0,88.77
52,41,128.38,1,0,182.79
85,23,60.38,1,1,124.03
66,7,79.1,1,1,199.73
63,47,77.7,1,0,111.21
84,30,54.94,1,1,108.28
70,34,173.24,1,0,259.86
48,46,160.84,1,0,225.52
77,21,109.67,1,1,224.82
96,6,110.6,0,0,262.28
10,27,109.27,0,1,156.88
75,14,179.82,1,1,395.6
50,30,92.62,1,0,135.34
40,6,183.0,1,0,342.47
65,39,123.4,1,0,180.47
56,23,78.64,1,0,120.58
45,48,57.25,0,1,85.41
96,49,52.61,0,1,83.76
100,49,145.66,0,0,174.79
39,22,109.28,0,1,171.52
41,26,197.58,1,0,286.86
66,11,70.7,1,0,130.8
69,25,109.73,0,1,182.74
93,34,82.42,1,1,162.01
86,49,136.34,0,1,214.33
72,21,158.86,1,1,322.05
66,29,88.39,0,1,143.19
44,31,74.13,0,1,113.97
23,23,85.12,1,1,152.86
36,28,137.92,0,1,210.21
73,24,170.78,0,0,220.65
33,5,151.65,0,1,295.72
54,35,199.19,1,0,288.83
40,19,64.25,0,0,77.1
37,45,154.73,0,1,229.07
62,29,117.62,0,0,141.93
99,28,100.73,1,0,165.34
66,13,80.64,0,1,150.91
22,7,139.34,0,0,177.66
64,13,187.81,1,1,405.13
72,11,54.29,0,1,108.58
20,45,123.97,1,0,166.55
82,7,112.17,0,0,227.14
55,36,126.69,0,0,145.52
71,9,186.29,0,1,393.07
73,45,90.12,0,0,104.42
30,6,84.48,1,0,146.03
72,15,77.43,0,1,143.25
57,45,52.63,1,0,74.94
83,45,169.24,1,0,250.55
27,10,153.24,1,1,298.12
22,35,118.26,1,0,160.97
42,32,151.73,1,0,216.56
40,33,159.02,1,1,289.04
12,19,180.67,1,0,245.71
40,40,84.38,0,0,92.61
60,11,167.55,0,1,318.35
47,44,141.39,1,0,198.57
34,16,121.78,1,0,182.67
47,33,99.14,0,0,112.84
39,9,73.33,0,1,131.26
24,35,163.25,1,1,288.41
15,32,95.57,1,1,166.81
98,12,185.96,1,0,381.93
46,22,169.77,0,0,203.72
87,31,103.63,0,1,173.26
22,9,67.94,1,0,103.27
13,31,113.48,0,1,163.48
27,12,118.91,0,1,191.17
75,46,117.07,0,1,182.58
33,27,59.73,1,1,108.58
34,50,199.47,0,0,212.77
49,25,84.72,1,1,159.99
23,38,116.97,0,0,123.87
93,9,97.44,0,1,227.04
17,50,185.14,1,1,320.91
49,9,53.31,1,0,95.42
86,31,52.27,1,1,102.91
11,12,142.26,0,1,211.2
28,34,156.94,0,1,232.27
62,22,68.02,1,0,106.76
27,20,77.48,1,1,141.68
50,22,142.53,0,1,230.53
58,31,76.39,1,1,143.71
45,50,133.21,1,1,238.21
100,40,115.61,0,0,143.81
15,47,113.59,0,0,117.14
81,42,107.47,1,1,202.94
40,15,150.23,1,1,292.95
95,29,132.32,0,1,227.15
84,24,152.79,0,1,265.24
24,19,130.77,1,1,238.0
37,18,91.38,1,0,136.59
95,36,85.11,0,1,141.01
19,26,110.17,1,1,195.04
25,50,146.11,0,1,211.72
14,11,147.72,1,0,209.27
98,20,190.54,0,1,355.67
58,50,96.99,1,1,175.91
35,32,80.66,0,1,121.48
51,48,72.58,0,1,109.17
79,15,103.31,1,1,226.64
94,22,137.02,1,1,288.93
87,25,114.27,1,1,232.5
18,38,122.82,1,1,214.46
11,11,71.77,0,0,78.35
98,6,197.71,0,1,553.59
16,34,176.91,1,1,308.83
75,37,134.54,0,1,214.91
49,42,116.63,1,1,211.56
81,24,57.87,0,1,99.77
27,39,182.42,1,1,322.43
58,48,107.49,1,0,152.46
37,8,90.88,1,1,191.86
30,29,196.76,0,1,295.14
38,28,83.25,1,0,119.13
14,16,189.53,0,1,280.95
38,38,185.73,1,1,333.84
37,6,198.65,0,0,303.65
57,23,161.05,1,1,312.03
86,34,86.78,1,1,168.85
94,7,133.68,0,0,290.75
42,43,178.96,0,0,196.04
23,34,97.2,1,0,132.75
19,9,75.74,1,0,112.85
90,30,57.65,1,1,114.74
89,35,79.56,1,1,154.92
32,6,126.05,1,1,271.91
51,19,93.52,1,1,182.83
76,50,172.16,0,0,197.82
97,21,88.75,1,0,154.51
78,24,184.3,0,0,241.8
72,21,89.55,1,0,145.72
85,35,73.03,1,1,141.39
49,49,167.07,0,1,250.27
77,8,170.65,0,0,316.65
46,35,109.85,0,0,123.89
91,30,150.74,1,1,300.51
13,19,76.75,0,0,81.74
88,40,69.17,1,0,104.77
70,27,130.38,0,1,215.13
58,36,71.58,0,1,111.43
80,13,111.9,1,1,254.17
42,15,122.05,0,1,202.91
73,45,57.16,0,0,66.23
54,36,114.22,1,0,165.16
27,31,122.88,0,0,133.25
11,16,94.49,1,0,128.95
84,41,63.65,1,0,95.47
27,48,181.88,1,0,246.47
66,38,127.72,0,0,149.33
11,41,51.35,1,1,88.64
22,26,52.48,0,0,56.76
64,34,50.22,0,0,59.4
66,10,111.17,1,1,255.69
56,32,187.81,1,1,351.15
58,26,138.49,0,1,223.64
46,38,167.36,0,1,254.04
47,30,164.29,1,0,238.49
45,50,130.04,1,1,232.54
51,44,120.69,0,0,134.37
25,13,90.92,1,1,170.8
67,22,147.64,1,1,294.0
20,9,110.78,1,1,210.48
97,43,128.49,0,1,208.21
79,29,88.62,0,0,111.96
37,26,168.89,0,0,192.03
88,31,128.71,0,0,164.11
45,47,71.25,0,0,77.93
13,44,104.58,1,0,138.98
70,11,103.97,0,0,164.62
58,47,157.4,0,0,176.42
49,33,55.94,0,0,64.0
20,42,158.32,0,0,165.68
45,40,54.42,1,1,98.49
13,31,150.47,0,1,216.77
94,15,114.15,0,0,181.21
57,19,113.12,1,1,224.54
83,18,195.58,0,0,281.02
47,43,98.82,0,1,148.9
86,17,58.21,0,1,109.31
45,27,170.91,0,1,266.74
12,14,92.11,1,1,163.96
16,9,69.23,1,1,128.77
48,25,148.94,1,0,221.12
44,14,177.18,0,1,300.02
96,38,86.17,1,1,167.7
57,12,64.77,0,1,119.08
89,14,118.97,1,1,272.84
81,21,147.28,1,0,245.69
25,33,158.79,0,0,170.47
42,10,142.8,0,1,254.44
63,6,71.46,1,0,157.21
50,50,172.68,1,1,310.49
22,20,164.36,1,1,296.63
98,41,141.47,1,0,216.92
59,16,165.85,0,1,289.75
88,22,159.96,1,1,333.13
43,47,198.41,1,1,355.07
49,9,116.71,0,0,173.9
58,33,144.09,0,0,168.67
61,29,77.22,0,1,123.81
56,40,160.03,1,1,293.91
87,50,118.94,1,1,222.49
65,21,65.61,0,0,84.99
30,28,144.42,0,0,159.36
37,33,63.3,0,0,70.19
89,47,97.69,0,0,115.8
25,37,100.53,1,0,137.3
68,17,58.63,1,1,121.82
16,23,101.05,1,0,138.1
90,42,75.75,1,0,114.33
52,11,94.65,0,0,135.67
48,28,143.35,0,0,167.08
15,22,167.91,1,1,296.4
26,41,149.73,0,0,159.0
94,31,70.13,1,0,111.77
94,48,125.7,0,1,200.09
90,34,130.95,1,1,256.29
50,14,125.47,0,1,217.48
18,30,147.23,1,1,258.84
71,32,149.11,1,0,225.92
85,29,176.33,0,1,296.82
97,49,89.85,0,1,143.22
78,49,50.39,0,0,58.25
39,38,98.98,0,1,148.47
91,22,102.4,0,0,142.91
84,11,96.71,0,0,164.41
56,20,67.83,0,1,113.05
82,19,148.31,0,0,209.12
72,30,138.48,0,0,170.64
48,25,82.44,0,0,97.66
65,6,64.98,0,1,151.31
82,33,107.33,0,0,133.22
40,37,169.67,0,0,187.53
73,23,136.48,1,0,218.94
46,45,170.36,0,1,255.54
17,22,151.04,0,0,162.2
92,8,117.81,0,0,238.24
95,49,125.93,0,0,149.86
18,32,183.41,0,1,266.78
77,34,80.1,0,0,97.72
34,10,79.64,0,1,136.11
71,8,97.69,0,0,174.76
52,37,50.75,0,1,77.99
86,14,146.05,0,0,229.79
94,8,144.85,1,0,339.59
51,15,84.48,0,0,111.41
55,38,193.07,0,0,220.3
64,50,126.83,0,1,193.48
59,43,93.54,0,1,143.5
65,19,134.55,1,1,272.46
48,20,172.47,0,0,211.89
14,7,75.35,1,1,141.28
92,50,108.61,0,1,171.65
72,39,187.39,1,0,277.34
26,13,116.49,1,1,219.67
99,19,70.43,1,0,126.42
79,32,53.84,1,0,82.88
31,12,164.81,0,1,270.03
37,20,109.61,0,1,172.77
15,42,114.68,0,1,164.55
90,34,115.4,0,1,191.23
26,38,166.88,1,1,294.82
18,49,108.37,0,0,112.27
66,35,150.93,0,1,238.97
78,9,50.64,1,0,105.33
91,16,165.09,1,0,302.99
79,10,147.91,0,0,254.14
14,20,101.69,1,0,138.98
48,42,136.17,0,1,205.84
18,42,135.37,1,0,181.65
62,45,194.43,1,1,356.74
63,39,124.85,0,0,144.51
10,36,67.72,1,0,89.87
39,26,187.08,1,0,270.23
75,13,112.07,0,1,216.94
96,9,78.85,1,1,209.74
56,43,145.36,1,0,207.47
17,44,155.1,0,1,223.0
42,29,175.77,0,1,270.69
89,19,184.66,1,0,322.23
97,9,83.79,0,1,198.58
97,39,199.01,1,1,386.58
14,19,68.71,0,0,73.52
40,12,132.16,0,0,172.82
84,27,174.19,1,1,348.38
73,42,78.75,0,0,92.12
51,48,102.68,1,1,185.24
58,23,61.01,1,1,118.46
33,35,121.6,0,1,181.39
99,41,161.43,0,0,199.48
58,14,176.2,1,0,297.19
81,41,181.74,1,0,271.31
18,38,169.32,0,1,244.86
23,19,139.97,0,0,156.07
81,30,135.56,0,0,170.98
39,14,194.28,1,1,380.79
71,11,86.09,0,0,137.03
50,41,114.6,0,1,174.08
43,15,149.68,0,0,189.91
12,12,194.41,1,1,348.44
74,14,196.03,0,1,371.15
67,14,142.24,0,0,205.77
58,10,66.34,0,0,101.32
13,42,138.72,0,0,142.91
54,34,96.57,1,0,140.44
99,16,51.21,0,0,81.03
84,46,167.9,0,1,265.07
66,6,68.89,0,1,161.4
27,12,160.0,1,0,241.23
47,19,51.86,1,1,100.35
75,34,75.36,0,1,121.65
44,8,88.53,1,0,158.37
54,36,62.41,1,0,90.24
10,17,58.31,0,1,84.87
35,7,129.36,0,0,185.96
62,46,65.41,1,0,93.66
30,21,158.14,0,1,242.96
81,29,87.49,1,1,172.36
24,38,68.65,1,0,93.47
81,30,193.45,0,0,244.0
56,7,67.84,1,1,162.82
82,25,91.95,0,0,120.95
73,28,143.89,1,0,223.28
59,24,148.97,1,1,288.41
20,30,96.62,1,1,170.49
75,15,147.88,0,1,276.35
94,42,106.08,0,0,129.27
20,18,119.6,0,1,180.03
36,40,197.55,1,0,274.16
